language,users,countries,rank
Mandarin,1116596640,3,1
Hindi,615475540,2,2
Spanish,534335730,23,3
English,1132366680,68,4
Arabic,230000000,28,5
Portuguese,234168620,9,6
Bengali,265042480,3,7
Russian,258227760,6,8
Japanese,128350830,2,9
German,132176520,8,10
Panjabi,92725700,1,11
Javanese,68277600,1,12
Korean,77264890,2,13
Vietnamese,76950770,1,14
Telugu,93040340,1,15
Marathi,95312800,4,16
Tamil,80989130,3,17
French,279821930,42,18
Urdu,170208780,3,19
Italian,67894920,5,20
Turkish,79779360,4,21
Persian,61782560,3,22
Gujarati,60588970,6,23
Polish,40378030,1,24
Ukrainian,33082790,2,25
Malayalam,37829870,3,26
Kannada,56463310,1,27
Oriya,37091520,1,28
Burmese,42912350,1,29
Thai,60657660,1,30
